origem,destino,peso
Colégio Adventista de Limeira,Colégio Adventista de Rio Claro,21.61030207841437
Colégio Adventista de Londrina,Escola Adventista de Apucarana,38.672459288011545
Colégio Adventista de Lorena,Colégio Adventista de Taubaté - Tremembé,53.90823477797219
Colégio Adventista de Macaé,Escola Adventista de Campos,85.97428617178288
Colégio Adventista de Maceió,Colégio Adventista União dos Palmares,62.82182828347124
Colégio Adventista de Marabá,Colégio Adventista de Parauapebas,116.16027913931794
Colégio Adventista de Maringá - Zona 4,Escola Adventista de Maringá - Zona 7,2.270508749681545
Colégio Adventista de Mauá,Colégio Adventista de Santo André,7.870043884713918
Colégio Adventista de Mauá,Colégio Adventista de São Bernardo do Campo,10.642479224074956
Colégio Adventista de Mauá,Colégio Adventista de São Caetano do Sul,12.213122416962813
Colégio Adventista de Mauá,Colégio Adventista de Vila Alpina,14.42272115162318
Colégio Adventista de Mogi das Cruzes,Colégio Adventista de São Miguel Paulista,23.7072816622277
Colégio Adventista de Niterói,Colégio Adventista de Botafogo,13.34381291400258
Colégio Adventista de Niterói,Colégio Adventista de São Gonçalo,9.35271953664733
Colégio Adventista de Novo Hamburgo,Escola Adventista de Canudos,4.029499115126466
Colégio Adventista de Padre Miguel,Escola Adventista de Nova Iguaçu,14.012530281375598
Colégio Adventista de Padre Miguel,Colégio Adventista de Nova Iguaçu,13.501267484220032
